locus_tag	ftype	gene	EC_number	product
ILEKFHAL_00001	CDS	hypothetical protein
ILEKFHAL_00002	CDS	hypothetical protein
ILEKFHAL_00003	CDS	hypothetical protein
ILEKFHAL_00004	CDS	hypothetical protein
ILEKFHAL_00005	CDS	hypothetical protein
ILEKFHAL_00006	CDS	hypothetical protein
ILEKFHAL_00007	CDS	hypothetical protein
ILEKFHAL_00008	CDS	hypothetical protein
ILEKFHAL_00009	CDS	hypothetical protein
ILEKFHAL_00010	CDS	hypothetical protein
ILEKFHAL_00011	CDS	hypothetical protein
ILEKFHAL_00012	CDS	hypothetical protein
ILEKFHAL_00013	CDS	smc_1	Chromosome partition protein Smc
ILEKFHAL_00014	CDS	hypothetical protein
ILEKFHAL_00015	CDS	mboIIM_1	2.1.1.72	Modification methylase MboII
ILEKFHAL_00016	CDS	hypothetical protein
ILEKFHAL_00017	CDS	hypothetical protein
ILEKFHAL_00018	CDS	hypothetical protein
ILEKFHAL_00019	CDS	hypothetical protein
ILEKFHAL_00020	CDS	ettA	Energy-dependent translational throttle protein EttA
ILEKFHAL_00021	CDS	hypothetical protein
ILEKFHAL_00022	CDS	hypothetical protein
ILEKFHAL_00023	CDS	hypothetical protein
ILEKFHAL_00024	CDS	hypothetical protein
ILEKFHAL_00025	CDS	hypothetical protein
ILEKFHAL_00026	CDS	hypothetical protein
ILEKFHAL_00027	CDS	hypothetical protein
ILEKFHAL_00028	CDS	hypothetical protein
ILEKFHAL_00029	CDS	hypothetical protein
ILEKFHAL_00030	CDS	hypothetical protein
ILEKFHAL_00031	CDS	hypothetical protein
ILEKFHAL_00032	tRNA	tRNA-Met(cat)
ILEKFHAL_00033	CDS	hypothetical protein
ILEKFHAL_00034	CDS	hypothetical protein
ILEKFHAL_00035	CDS	hypothetical protein
ILEKFHAL_00036	tRNA	tRNA-Asn(gtt)
ILEKFHAL_00037	CDS	rny	3.1.-.-	Ribonuclease Y
ILEKFHAL_00038	CDS	hypothetical protein
ILEKFHAL_00039	CDS	hypothetical protein
ILEKFHAL_00040	tRNA	tRNA-Gln(ctg)
ILEKFHAL_00041	CDS	hypothetical protein
ILEKFHAL_00042	CDS	hypothetical protein
ILEKFHAL_00043	CDS	pcaF_1	2.3.1.174	Beta-ketoadipyl-CoA thiolase
ILEKFHAL_00044	CDS	hypothetical protein
ILEKFHAL_00045	CDS	thyX	2.1.1.148	Thymidylate synthase ThyX
ILEKFHAL_00046	CDS	hemB	4.2.1.24	Delta-aminolevulinic acid dehydratase
ILEKFHAL_00047	CDS	hypothetical protein
ILEKFHAL_00048	CDS	hypothetical protein
ILEKFHAL_00049	CDS	hypothetical protein
ILEKFHAL_00050	CDS	hypothetical protein
ILEKFHAL_00051	CDS	hypothetical protein
ILEKFHAL_00052	CDS	hypothetical protein
ILEKFHAL_00053	CDS	hypothetical protein
ILEKFHAL_00054	CDS	hypothetical protein
ILEKFHAL_00055	CDS	yxlF_1	3.6.3.-	putative ABC transporter ATP-binding protein YxlF
ILEKFHAL_00056	CDS	hypothetical protein
ILEKFHAL_00057	CDS	hypothetical protein
ILEKFHAL_00058	CDS	hypothetical protein
ILEKFHAL_00059	CDS	hypothetical protein
ILEKFHAL_00060	CDS	hypothetical protein
ILEKFHAL_00061	CDS	yqjI_1	Transcriptional regulator YqjI
ILEKFHAL_00062	CDS	rsmC	2.1.1.172	Ribosomal RNA small subunit methyltransferase C
ILEKFHAL_00063	CDS	hypothetical protein
ILEKFHAL_00064	CDS	hypothetical protein
ILEKFHAL_00065	CDS	hypothetical protein
ILEKFHAL_00066	CDS	hypothetical protein
ILEKFHAL_00067	CDS	obg_1	3.6.5.-	GTPase Obg
ILEKFHAL_00068	CDS	hypothetical protein
ILEKFHAL_00069	CDS	mug	3.2.2.28	G/U mismatch-specific DNA glycosylase
ILEKFHAL_00070	CDS	acyP	3.6.1.7	Acylphosphatase
ILEKFHAL_00071	CDS	tdcB	4.3.1.19	L-threonine ammonia-lyase
ILEKFHAL_00072	CDS	fchA	3.5.4.9	Methenyltetrahydrofolate cyclohydrolase
ILEKFHAL_00073	CDS	2.1.2.5	Glutamate formimidoyltransferase
ILEKFHAL_00074	CDS	nrdZ	1.17.4.1	Vitamin B12-dependent ribonucleoside-diphosphate reductase
ILEKFHAL_00075	CDS	napA	Na(+)/H(+) antiporter
ILEKFHAL_00076	CDS	csbC_1	putative metabolite transport protein CsbC
ILEKFHAL_00077	CDS	hypothetical protein
ILEKFHAL_00078	CDS	hypothetical protein
ILEKFHAL_00079	CDS	glpK	2.7.1.30	Glycerol kinase
ILEKFHAL_00080	CDS	hypothetical protein
ILEKFHAL_00081	CDS	hypothetical protein
ILEKFHAL_00082	CDS	hypothetical protein
ILEKFHAL_00083	CDS	groL_1	60 kDa chaperonin
ILEKFHAL_00084	CDS	npr	1.11.1.1	NADH peroxidase
ILEKFHAL_00085	CDS	hypothetical protein
ILEKFHAL_00086	CDS	ydjE_1	Inner membrane metabolite transport protein YdjE
ILEKFHAL_00087	CDS	hypothetical protein
ILEKFHAL_00088	CDS	hypothetical protein
ILEKFHAL_00089	CDS	hypothetical protein
ILEKFHAL_00090	CDS	hypothetical protein
ILEKFHAL_00091	CDS	hypothetical protein
ILEKFHAL_00092	CDS	hypothetical protein
ILEKFHAL_00093	CDS	kch	Voltage-gated potassium channel Kch
ILEKFHAL_00094	CDS	hypothetical protein
ILEKFHAL_00095	CDS	yxlF_2	3.6.3.-	putative ABC transporter ATP-binding protein YxlF
ILEKFHAL_00096	CDS	hypothetical protein
ILEKFHAL_00097	CDS	hypothetical protein
ILEKFHAL_00098	CDS	hypothetical protein
ILEKFHAL_00099	CDS	dat	2.6.1.76	Diaminobutyrate--2-oxoglutarate aminotransferase
ILEKFHAL_00100	CDS	hypothetical protein
ILEKFHAL_00101	CDS	acsA	6.2.1.1	Acetyl-coenzyme A synthetase
ILEKFHAL_00102	CDS	hypothetical protein
ILEKFHAL_00103	CDS	hypothetical protein
ILEKFHAL_00104	CDS	ytnP	3.1.1.-	putative quorum-quenching lactonase YtnP
ILEKFHAL_00105	CDS	hypothetical protein
ILEKFHAL_00106	CDS	hypothetical protein
ILEKFHAL_00107	CDS	guaB_1	1.1.1.205	Inosine-5'-monophosphate dehydrogenase
ILEKFHAL_00108	CDS	hypothetical protein
ILEKFHAL_00109	CDS	hypothetical protein
ILEKFHAL_00110	CDS	4.4.1.11	L-methionine gamma-lyase
ILEKFHAL_00111	CDS	hypothetical protein
ILEKFHAL_00112	CDS	ribZ_1	Riboflavin transporter RibZ
